,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run,Region
1,322,Chinook,1950,NA,NA,NA,VIMI
2,321,Chinook,1950,NA,NA,NA,VIMI
3,324,Chinook,1950,NA,NA,NA,VIMI
4,325,Chinook,1950,NA,NA,NA,VIMI
5,323,Chinook,1950,NA,NA,NA,VIMI
6,334,Chinook,1950,NA,NA,NA,VIMI
7,331,Chinook,1950,NA,7700,NA,VIMI
8,332,Chinook,1950,NA,NA,NA,VIMI
9,327,Chinook,1950,NA,NA,NA,VIMI
10,330,Chinook,1950,NA,NA,NA,VIMI
11,320,Chinook,1950,NA,NA,NA,VIMI
12,326,Chinook,1950,NA,NA,NA,VIMI
13,328,Chinook,1950,NA,NA,NA,VIMI
14,329,Chinook,1950,NA,NA,NA,VIMI
15,901,Chum,1950,NA,9000,NA,VIMI
16,904,Chum,1950,NA,7900,NA,VIMI
17,905,Chum,1950,NA,NA,NA,VIMI
18,902,Chum,1950,NA,10150,NA,VIMI
19,903,Chum,1950,NA,200,NA,VIMI
20,977,Chum,1950,NA,NA,NA,VIMI
21,900,Chum,1950,NA,40075,NA,VIMI
22,978,Chum,1950,NA,NA,NA,VIMI
23,979,Chum,1950,NA,NA,NA,VIMI
24,915,Coho,1950,NA,NA,NA,VIMI
25,910,Coho,1950,NA,475,NA,VIMI
26,911,Coho,1950,NA,750,NA,VIMI
27,908,Coho,1950,NA,NA,NA,VIMI
28,916,Coho,1950,NA,5000,NA,VIMI
29,907,Coho,1950,NA,NA,NA,VIMI
30,913,Coho,1950,NA,NA,NA,VIMI
31,912,Coho,1950,NA,NA,NA,VIMI
32,909,Coho,1950,NA,11150,NA,VIMI
33,914,Coho,1950,NA,NA,NA,VIMI
34,917,Pink (Even),1950,NA,200,NA,VIMI
35,919,Pink (Even),1950,NA,NA,NA,VIMI
36,920,Pink (Even),1950,NA,45475,NA,VIMI
37,918,Pink (Even),1950,NA,NA,NA,VIMI
38,921,Pink (Odd),1950,NA,NA,NA,VIMI
39,923,Pink (Odd),1950,NA,NA,NA,VIMI
40,922,Pink (Odd),1950,NA,NA,NA,VIMI
41,924,Pink (Odd),1950,NA,NA,NA,VIMI
42,926,Pink (Odd),1950,NA,NA,NA,VIMI
43,925,Pink (Odd),1950,NA,NA,NA,VIMI
44,945,Lake Sockeye,1950,NA,NA,NA,VIMI
45,946,Lake Sockeye,1950,NA,NA,NA,VIMI
46,947,Lake Sockeye,1950,NA,NA,NA,VIMI
47,948,Lake Sockeye,1950,NA,NA,NA,VIMI
48,949,Lake Sockeye,1950,NA,NA,NA,VIMI
49,950,Lake Sockeye,1950,NA,NA,NA,VIMI
50,951,Lake Sockeye,1950,NA,NA,NA,VIMI
51,927,Lake Sockeye,1950,NA,NA,NA,VIMI
52,952,Lake Sockeye,1950,NA,NA,NA,VIMI
53,953,Lake Sockeye,1950,NA,NA,NA,VIMI
54,954,Lake Sockeye,1950,NA,NA,NA,VIMI
55,928,Lake Sockeye,1950,NA,3500,NA,VIMI
56,955,Lake Sockeye,1950,NA,NA,NA,VIMI
57,937,Lake Sockeye,1950,NA,NA,NA,VIMI
58,956,Lake Sockeye,1950,NA,NA,NA,VIMI
59,929,Lake Sockeye,1950,NA,7500,NA,VIMI
60,957,Lake Sockeye,1950,NA,NA,NA,VIMI
61,958,Lake Sockeye,1950,NA,NA,NA,VIMI
62,930,Lake Sockeye,1950,NA,NA,NA,VIMI
63,931,Lake Sockeye,1950,NA,NA,NA,VIMI
64,959,Lake Sockeye,1950,NA,NA,NA,VIMI
65,960,Lake Sockeye,1950,NA,NA,NA,VIMI
66,961,Lake Sockeye,1950,NA,NA,NA,VIMI
67,962,Lake Sockeye,1950,NA,NA,NA,VIMI
68,938,Lake Sockeye,1950,NA,NA,NA,VIMI
69,939,Lake Sockeye,1950,NA,NA,NA,VIMI
70,963,Lake Sockeye,1950,NA,NA,NA,VIMI
71,964,Lake Sockeye,1950,NA,NA,NA,VIMI
72,966,Lake Sockeye,1950,NA,NA,NA,VIMI
73,932,Lake Sockeye,1950,NA,NA,NA,VIMI
74,967,Lake Sockeye,1950,NA,NA,NA,VIMI
