"cuid","cuname.x","cu_acronym","du_number","du_acronym","DU_name","FULL_CU_IN","spp","gen_length","COSEWIC_status","survey_quality","survey_coverage","survey_execution","catch_quality","dq_score","cu_enh_rank","Sites"
205,"Ecstall","","CK41","ECST","Ecstall, Ocean, Summer","CK-46","Chinook",6,"",0,0,0,0,0,"None",4
206,"Kalum-early timing","","CK43","KALUM-E","Kalum Ð Early Timing, Stream, Spring","CK-49","Chinook",6,"",0,0,0,0,0,"Low",2
207,"Kalum-late timing","","CK44","KALUM-L","Kalum Ð Late Timing, Stream, Summer","CK-50","Chinook",6,"",1,5,4,5,15,"High",7
210,"Lower Skeena-CK","","CK42","LSK","Lower Skeena, Stream, Summer","CK-48","Chinook",6,"",1,3,1,5,10,"Low",20
212,"Upper Skeena-CK","","CK48","USK","Upper Skeena River, Stream, Spring","CK-56","Chinook",6,"",0,0,0,0,0,"None",6
217,"Middle Skeena-mainstem tributaries","","CK47","MSK-M/S","Middle Skeena-M/S Tributary, Stream, Summer","CK-54","Chinook",6,"",1,4,2,5,12,"Low",28
221,"Upper Bulkley River","","CK45","","Bulkley River, Stream, Spring","CK-55","Chinook",6,"",0,0,0,0,0,"High",4
222,"Middle Skeena-large lakes","","CK46","MSK-LKS","Middle Skeena Ð Lakes, Stream, Summer","CK-53","Chinook",6,"",3,5,5,5,18,"High",17
224,"Skeena Estuary-CK","","CK40","SKEst","Skeena Estuary, Stream, Summer","CK-45","Chinook",6,"",0,0,0,0,0,"Moderate",4
227,"Lakelse-CK","","CK42","LSK","Lower Skeena, Stream, Summer","CK-51","Chinook",6,"",0,0,0,0,0,"Low",5
229,"Zymoetz","","CK42","LSK","Lower Skeena, Stream, Summer","CK-80","Chinook",6,"",0,0,0,0,0,"None",6
241,"Sicintine","","","","","CK-81","Chinook",6,"",0,0,0,0,0,"None",1
301,"Okanagan","OK","CK69","OK+ORWA/Ocean/Fall","Okanagan River, Ocean, Fall","CK-1","Chinook",NA,"Endangered",NA,NA,NA,NA,NA,"None",1
302,"CK002-Boundary Bay_FA_0.3","BB","CK1","BB+GStr/Ocean/Fall","Southern Mainland Boundary Bay, Ocean, Fall population","CK-2","Chinook",5,"Threatened",0,0,0,0,0,"High",3
303,"CK003-Lower Fraser River_FA_0.3","LFR-fall","CK2","LFR+GStr/Ocean/Fall","Lower Fraser, Ocean, Fall population (Harrison)","CK-3","Chinook",4,"Threatened",4,5,5,0,14,"Moderate",1
304,"CK004-Lower Fraser River_SP_1.3","LFR-spring","CK3","LFR+GStr/Stream/Spring","Lower Fraser, Stream, Spring population (Birkenhead)","CK-4","Chinook",5,"Special Concern",2,1,5,0,8,"Low",2
305,"CK005-Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT","CK4","LFR+GStr/Stream/Summer(Upper Pitt)","Lower Fraser, Stream, Summer (Upper Pitt) population","CK-5","Chinook",5,"Endangered",0,0,0,0,0,"Low",1
306,"CK006-Lower Fraser River_SU_1.3","LFR-summer","CK5","LFR+GStr/Stream/Summer","Lower Fraser, Stream, Summer (Lillooet) population","CK-6","Chinook",5,"Threatened",0,0,0,0,0,"Low",9
307,"CK007-Maria Slough_SU_0.3","Maria","CK6","LFR+GStr/Ocean/Summer","Lower Fraser, Ocean, Summer (Maria Slough) population","CK-7","Chinook",4,"Endangered",0,0,0,0,0,"High",1
308,"CK008-Middle Fraser-Fraser Canyon_SP_1.3","NAHAT","CK7","FRCanyGStr/Stream/Spring","Middle Fraser, Stream, Spring (FR Canyon) population","CK-8","Chinook",5,"Endangered",0,0,0,0,0,"None",2
309,"CK009-Middle Fraser River-Portage_FA_1.3","Portage","CK8","MFR+GStr/Stream/Fall","Middle Fraser, Stream, Fall (Portage) population","CK-9","Chinook",5,"Endangered",0,0,0,0,0,"None",1
310,"CK010-Middle Fraser River_SP_1.3","MFR-spring","CK9","MFR+GStr/Stream/Spring","Middle Fraser, Stream, Spring (MFR+GStr) population","CK-10","Chinook",5,"Threatened",2,0,5,0,7,"Moderate",25
311,"CK011-Middle Fraser River_SU_1.3","MFR-summer","CK10","MFR+GStr/Stream/Summer","Middle Fraser, Stream, Summer population","CK-11","Chinook",5,"Threatened",3,1,4,0,8,"Moderate",18
312,"CK012-Upper Fraser River_SP_1.3","UFR-spring","CK11","UFR/Stream/Spring","Upper Fraser, Stream, Spring population","CK-12","Chinook",5,"Endangered",2,0,5,0,7,"Low",43
313,"CK013-South Thompson_SU_0.3","STh-0.3","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","CK-13","Chinook",4,"Not at risk",2,1,5,0,8,"None",10
314,"CK014-South Thompson_SU_1.3","STh-1.3","CK13","STh+GStr/Stream/Summer","South Thompson, Stream, Summer 1.3 population","CK-14","Chinook",5,"Endangered",3,5,5,0,13,"Moderate",4
315,"CK015-Shuswap River_SU_0.3","STh-SHUR","CK12","STh+GStr/Ocean/Summer","South Thompson, Ocean, Summer population","CK-15","Chinook",4,"Not at risk",4,5,5,0,14,"Moderate",4
316,"CK016-South Thompson-Bessette Creek_SU_1.2","STh-BESS","CK14","STh+GStr/Stream/Summer/(Bessette)","South Thompson, Stream, Summer 1.2 (Bessette) population","CK-16","Chinook",4,"Endangered",3,0,5,0,8,"None",4
317,"CK017-Lower Thompson_SP_1.2","LTh","CK15","LTh+GStr/Stream/Spring","Lower Thompson, Stream, Spring population","CK-17","Chinook",4,"Endangered",3,5,5,0,13,"Moderate",9
318,"CK018-North Thompson_SP_1.3","NTh-spr","CK16","NTh+GStr/Stream/Spring","North Thompson, Stream, Spring population","CK-18","Chinook",5,"Endangered",3,1,5,0,9,"Low",7
319,"CK019-North Thompson_SU_1.3","NTh-sum","CK17","NTh+Gstr/Stream/Summer","North Thompson, Stream, Summer population","CK-19","Chinook",5,"Endangered",2,3,5,0,10,"Low",7
320,"CK020-Southern Mainland-Georgia Strait_FA_0.x","SC-GStr","CK18","SC+GStr/Ocean/Fall","South Coast - Georgia Strait, Ocean, Fall population","CK-20","Chinook",4,"Data Deficient",0,0,0,0,0,"High",39
321,"CK021-East Vancouver Island-Goldstream_FA_0.x","Goldstr","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-21","Chinook",3,"Special Concern",0,5,0,0,5,"High",2
322,"CK022-East Vancouver Island-Cowichan and Koksilah_FA_0.x","CWCH-KOK","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-22","Chinook",3,"Special Concern",5,5,5,0,15,"High",7
323,"CK023-East Vancouver Island-Nanaimo_SP_1.x","NanR-spr","CK19","EVI+GStr/Stream/Spring","East Vancouver Island, Stream, Spring population","CK-23","Chinook",4,"Endangered",0,0,0,0,0,"None",1
324,"CK025-East Vancouver Island-Nanaimo and Chemainus_FA_0.x","EVI-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-25","Chinook",3,"Special Concern",3,5,5,0,13,"High",6
325,"CK027-East Vancouver Island-Qualicum and Puntledge_FA_0.x","QP-fall","CK21","EVI+GStr/Ocean/Fall","East Vancouver Island, Ocean, Fall population","CK-27","Chinook",4,"Special Concern",3,5,5,0,13,"High",16
326,"CK028-Southern Mainland-Southern Fjords_FA_0.x","SC+SFj","CK22","SC+SFj/Ocean/Fall","South Coast - Southern Fjords, Ocean, Fall population","CK-28","Chinook",4,"Data Deficient",3,0,2,0,5,"High",27
327,"CK029-East Vancouver Island-North_FA_0.x","NEVI","CK23","EVI+SFj/Ocean/Fall","East Vancouver Island - North, Ocean, Fall (EVI + SFj) population","CK-29","Chinook",4,"Not at risk",4,5,5,0,14,"High",19
