cuid,cuname,ncc_cu,survey_quality,survey_coverage,survey_execution,catch_quality,dq_score
500,Smith Inlet,CM-12,1,5,3,2,11
501,Rivers Inlet,CM-13,1,2,2,2,7
502,Wannock,CM-14,0,0,0,0,0
503,Spiller-Fitz-Hugh-Burke,CM-15,1,3,3,2,9
504,Bella Colla-Dean Rivers,CM-16,1,5,4,2,12
505,Bella Coola River-Late,CM-17,0,0,0,0,0
506,Hecate Lowlands,CM-18,1,3,3,2,9
507,Mussel-Kynock,CM-19,1,5,4,2,12
508,Douglas-Gardner,CM-20,2,2,5,2,11
509,Docee,CK-36,0,0,0,0,0
510,Rivers Inlet,CK-37,1,3,1,3,8
511,Wannock,CK-38,1,3,2,3,9
512,Bella Coola-Bentinck,CK-39,1,5,2,5,13
513,Dean River,CK-40,1,5,1,3,10
514,NCC-late timing,CK-41,0,0,0,0,0
515,NCC-early timing,CK-42,0,1,3,3,7
516,Smith Inlet,CO-20,1,5,1,3,10
517,Rivers Inlet,CO-21,0,0,0,0,0
518,Bella Coola-Dean Rivers,CO-22,1,5,4,1,11
519,Mussel-Kynoch,CO-26,1,3,2,1,7
520,Hecate Strait Mainland,CO-27,1,3,1,1,6
521,Brim-Wahoo,CO-28,0,5,5,1,11
522,Douglas Channel-Kitimat Arm,CO-29,0,2,4,1,7
523,N Coastal Streams,CO-30,1,5,4,1,11
524,Long,SEL-15-01,1,5,2,2,10
525,Owikeno,SEL-15-02,1,3,4,2,10
526,Owikeno-Late,SEL-15-03,0,0,0,0,0
527,Wannock[Owikeno],SEL-15-04,0,0,0,0,0
528,South Atnarko Lakes,x,1,5,5,2,13
529,Backland,SEL-18-01,0,5,4,2,11
530,Soda Creek,SEL-18-10,0,0,0,0,0
531,Whalen,SEL-18-11,0,0,0,0,0
532,Canoona,SEL-18-02,1,5,3,2,11
533,Dome ,SEL-18-03,0,0,0,0,0
534,Evelyn,SEL-18-04,3,5,5,2,15
535,Kainet Creek,SEL-18-05,1,5,5,2,13
536,Kimsquit,SEL-18-06,0,0,0,0,0
537,Kitkiata,SEL-18-07,0,0,0,0,0
538,Kitlope,SEL-18-08,0,5,5,2,12
539,Pine River,SEL-18-09,0,0,0,0,0
540,Banks,SEL-19-01,0,0,0,0,0
541,Bloomfield,SEL-19-02,0,5,2,2,9
542,Bolton Creek,SEL-19-03,0,0,0,0,0
543,Bonilla,SEL-19-04,0,0,0,0,0
