"region_full","SMU","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Fraser","GEORGIA STRAIT CHINOOK SALMON","Boundary Bay-Ocean-Fall ","CK1","Chinook",5,"Threatened",457,32,103,2018,"Endangered"
"Fraser","FRASER SUMMER RUN 52 CHINOOK SALMON","Middle Fraser-Stream-Summer ","CK10","Chinook",5,"Threatened",-35,-5,13268,2023,"Threatened"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Upper Fraser-Stream-Spring ","CK11","Chinook",5,"Endangered",-34,-12,11459,2023,"Threatened"
"Fraser","FRASER SUMMER RUN 41 CHINOOK SALMON","South Thompson-Ocean-Summer ","CK12","Chinook",4,"Not at risk",278,96,641132,2023,"Not at risk"
"Fraser","FRASER SUMMER RUN 52 CHINOOK SALMON","South Thompson-Stream-Summer ","CK13","Chinook",5,"Endangered",41,5,1180,2023,"Not at risk"
"Fraser","FRASER SPRING RUN 42 CHINOOK SALMON","South Thompson-Stream-Summer ","CK14","Chinook",4,"Endangered",-82,-18,17,2023,"Endangered"
"Fraser","FRASER SPRING RUN 42 CHINOOK SALMON","Lower Thompson-Stream-Spring","CK15","Chinook",4,"Endangered",-33,7,11008,2023,"Threatened"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","North Thompson-Stream-Spring","CK16","Chinook",5,"Endangered",113,-42,454,2023,"Threatened"
"Fraser","FRASER SUMMER RUN 52 CHINOOK SALMON","North Thompson-Stream-Summer","CK17","Chinook",5,"Endangered",41,-11,4593,2023,"Not at risk"
"Van. Isl. Main. Inl.","GEORGIA STRAIT CHINOOK SALMON","Georgia Strait-Ocean-Fall","CK18","Chinook",4,"Data Deficient",90,2,1337,2018,"Not at risk"
"Van. Isl. Main. Inl.","GEORGIA STRAIT CHINOOK SALMON","ECVI-Stream-Spring","CK19","Chinook",4,"Endangered",NA,NA,NA,NA,NA
"Fraser","FRASER FALL RUN 42 CHINOOK SALMON","Lower Fraser-Ocean-Fall","CK2","Chinook",4,"Threatened",79,8,146498,2023,"Not at risk"
"Van. Isl. Main. Inl.","GEORGIA STRAIT CHINOOK SALMON","ECVI-Ocean-Summer","CK20","Chinook",4,"Endangered",-54,16,1130,2018,"Endangered"
"Van. Isl. Main. Inl.","GEORGIA STRAIT CHINOOK SALMON","ECVI-Ocean-Fall","CK21","Chinook",3,"Special Concern",33,2,16112,2018,"Not at risk"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET CHINOOK SALMON","Southern Fjords-Ocean-Fall","CK22","Chinook",4,"Data Deficient",1092,1244,2455,2017,"Not at risk"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET CHINOOK SALMON","ECVI-North-Ocean-Fall","CK23","Chinook",4,"Not at risk",6,-30,7851,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI CHINOOK SALMON","WCVI-Ocean-Fall (south)","CK24","Chinook",4,"Threatened",93,-7,60753,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI CHINOOK SALMON","WCVI-Ocean-Fall (Nootka & Kyuquot)","CK25","Chinook",4,"Threatened",132,8,20854,2018,"Not at risk"
"Van. Isl. Main. Inl.","WCVI CHINOOK SALMON","WCVI-Ocean, Fall (WVI + WQCI)","CK26","Chinook",4,"Data Deficient",-44,-17,723,2018,"Threatened"
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET CHINOOK SALMON","Southern Mainland-Ocean-Summer","CK27","Chinook",5,"Data Deficient",NA,NA,NA,NA,NA
"Van. Isl. Main. Inl.","JOHNSTONE STRAIT/MAINLAND INLET CHINOOK SALMON","Southern Mainland-Stream-Summer","CK28","Chinook",5,"Data Deficient",NA,NA,NA,NA,NA
"Fraser","FRASER SUMMER RUN 41 CHINOOK SALMON","Upper Adams-Stream-Summer","CK29","Chinook",5,"Not assessed",-36,-5,101,2018,"Endangered"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Lower Fraser-Stream-Spring","CK3","Chinook",5,"Special Concern",-82,12,357,2023,"Threatened"
"Haida Gwaii","HAIDA GWAIICHINOOK SALMON","North-Ocean/Stream-Summer","CK30","Chinook",6,"Not assessed",204,287,7500,2006,"Not at risk"
"Haida Gwaii","HAIDA GWAIICHINOOK SALMON","East-Ocean-Fall","CK31","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Smith Inlet-Ocean-Summer","CK32","Chinook",4,"Not assessed",-11,-33,391,2011,"Threatened"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Rivers Inlet-Stream-Summer","CK33","Chinook",5,"Not assessed",-82,6,485,2017,"Endangered"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Wannock","CK34","Chinook",5,"Not assessed",38,17,5970,2017,"Not at risk"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Bella Coola/Bentinck-Ocean-Summer","CK35","Chinook",5,"Not assessed",31,-19,10934,2017,"Not at risk"
"Central Coast","CENTRAL COAST CHINOOK SALMON","Dean River-Stream-Summer","CK36","Chinook",5,"Not assessed",-49,-6,730,2017,"Threatened"
"Central Coast","CENTRAL COAST CHINOOK SALMON","NCC late-Ocean/Stream- Summer","CK37","Chinook",5,"Not assessed",-72,42,1922,2020,"Endangered"
"Central Coast","CENTRAL COAST CHINOOK SALMON","NCC early-Ocean-Spring","CK38","Chinook",5,"Not assessed",-26,-10,900,2017,"Threatened"
"Fraser","FRASER SPRING RUN 52 CHINOOK SALMON","Lower Fraser-Stream-Summer (Pitt)","CK4","Chinook",5,"Endangered",-74,-50,69,2023,"Endangered"
"Skeena","CENTRAL COAST CHINOOK SALMON","Skeena Estuary-Stream-Summer","CK40","Chinook",6,"Not assessed",NA,NA,NA,NA,"Data defficient"
"Skeena","SKEENA CHINOOK SALMON","Ecstall","CK41","Chinook",6,"Status assessment recommended",-70,-57,1311,2001,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Lower Skeena-Stream-Summer","CK42","Chinook",6,"Status assessment recommended",-81,-23,2079,2020,"Endangered"
"Skeena","SKEENA CHINOOK SALMON","Kalum-Early","CK43","Chinook",6,"Status assessment recommended",-5,-2,507,2011,"Threatened"
"Skeena","SKEENA CHINOOK SALMON","Kalum-Late","CK44","Chinook",6,"Status assessment recommended",-55,-19,4777,2020,"Endangered"
