"region_full","DU_name_short","du_number","species","gen_length","COSEWIC_status","per_change_recent","per_change_all","recent_abundance","last_year_monitored","prob_designation_recent"
"Fraser","Boundary Bay-Ocean-Fall ","CK1","Chinook",5,"Threatened",457,32,103,2018,"Not at risk"
"Fraser","Middle Fraser-Stream-Summer ","CK10","Chinook",5,"Threatened",-63,-55,4684,2018,"Threatened"
"Fraser","Upper Fraser-Stream-Spring ","CK11","Chinook",5,"Endangered",-46,-14,7339,2018,"Special concern"
"Fraser","South Thompson-Ocean-Summer ","CK12","Chinook",4,"Not at risk",-22,4,37005,2018,"Not at risk"
"Fraser","South Thompson-Stream-Summer ","CK13","Chinook",5,"Endangered",-15,15,922,2018,"Not at risk"
"Fraser","South Thompson-Stream-Summer ","CK14","Chinook",4,"Endangered",-89,-55,4,2018,"Endangered"
"Fraser","Lower Thompson-Stream-Spring","CK15","Chinook",4,"Endangered",52,-45,3560,2018,"Not at risk"
"Fraser","North Thompson-Stream-Spring","CK16","Chinook",5,"Endangered",-89,-90,15,2018,"Endangered"
"Fraser","North Thompson-Stream-Summer","CK17","Chinook",5,"Endangered",-86,-78,1235,2018,"Endangered"
"Van. Isl. Main. Inl.","Georgia Strait-Ocean-Fall","CK18","Chinook",4,"Data Deficient",90,2,1337,2018,"Not at risk"
"Van. Isl. Main. Inl.","ECVI-Stream-Spring","CK19","Chinook",4,"Endangered",NA,NA,NA,NA,NA
"Fraser","Lower Fraser-Ocean-Fall","CK2","Chinook",4,"Threatened",-48,-24,46336,2018,"Special concern"
"Van. Isl. Main. Inl.","ECVI-Ocean-Summer","CK20","Chinook",4,"Endangered",-54,16,1130,2018,"Threatened"
"Van. Isl. Main. Inl.","ECVI-Ocean-Fall","CK21","Chinook",3,"Special Concern",-69,-48,16112,2018,NA
"Van. Isl. Main. Inl.","Southern Fjords-Ocean-Fall","CK22","Chinook",4,"Data Deficient",1092,1244,2455,2017,"Not at risk"
"Van. Isl. Main. Inl.","ECVI-North-Ocean-Fall","CK23","Chinook",4,"Not at risk",6,-30,7851,2018,"Not at risk"
